web-scraper-order,web-scraper-start-url,titulo,precio,metros
1620528285-12732,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=3,Fray Junipero Lote habitacional de 4199 mts2!,"$7,978,917",4199
1620528147-12302,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=2,"TERRENO EN VENTA PLANO EN EL CAMPANARIO, 700 M2","$7,200,000",700
1620528193-12449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=1,Se Vende Terreno COMERCIAL En MILENIO III - de 242 m2 - Atención Comerciantes !!,"$2,500,000",242
1620528032-11950,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/terreno/for-sale/?currency=mxn,Terreno en Venta en PROLONGACION PASEO DE AMSTERDAM,"$3,012,000",753
1620528129-12241,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=4,Terreno en esquina de 653 mts2 ubicado en El Campanario! RCS,"$6,900,000",653
1620528129-12243,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=4,Terreno en Campanario zona construida 653 mts2! RCS,"$6,900,000",653
1620528065-12052,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=2,"Único Terreno de 427 m2 en Cumbres del Lago, para hacer una GRAN RESIDENCIA!","$3,500,000",427
1620528075-12058,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?&page=1,"Se Vende Terreno en Cumbres del Lago, 270 m2, Descendente, Hermosa Vista !!!","$1,250,000",270
1620528221-12555,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=9,"*EXCELENTE TERRENO DE 10,000M2 EN VENTA SOBRE PASEO DE LA REPUBLICA JURIQUILLA","$65,000,000",10000
1620528184-12421,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=2,SE VENDE TERRENO EN MILENIO,"$6,500,000",3304
1620528311-12770,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,Terrenos Residenciales con Lago Natural y Club Resort...en Querétaro!!,"$468,000",144
1620528258-12662,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=5,TERRENO COMERCIAL FRENTE A SUNHILLS,"$3,460,000",3460
1620528248-12637,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=6,"Terreno en Juriquilla, Qro","$6,120,000",1053
1620528285-12728,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=3,VENTA DE TERRENO EN LAGO DE JURIQUILLA,"$1,909,757",280
1620528100-12144,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=2,Venta de Terreno unifamiliar ubicado en Fraccionamiento Jurica,"$13,607,000",2474
1620528311-12775,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,TERRENO EN VENTA En Cumbres Del Lago Juriquilla,"$1,650,000",275
1620528358-12933,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=1,TERRENO EN VENTA  RECIDENCIAL REFUGIO,"$1,060,000",154
