web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,metros
1616348481-488,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html,"Casa en Renta Dentro de Privada en El Refugio $12,500 Mensuales",12500,3 rec.,120 m²
1616348402-387,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,Casa en Renta Juriquilla,24000,4 rec.,260 m²
1616348445-456,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,Casa Amueblada de 3 Recámaras en Renta en El Refugio,18999,3 rec.,180 m²
1616348338-269,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Casa en Renta por Solo 6 Meses a Estrenar Lc,30000,4 rec.,280 m²
1616348432-424,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-4.html,"Casa en Renta en Alanna El Refugio, Cuenta con 3 Recamaras, con Alberca",13000,3 rec.,126 m²
1616348178-17,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,"Se Renta Casa en ""El Campanario"" con Alberca",67500,4 rec.,810 m²
1616348246-115,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Casa en Renta en El Mirador,9000,3 rec.,106 m²
1616348374-343,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,Departamento en Renta Amplio Atras Fresko Juriquilla,12000,3 rec.,110 m²
1616348232-89,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,"Renta Casa Amueblada, Mirador",13500,3 rec.,114 m²
1616348258-127,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-q-milenio-iii-queretaro.html,Casa Para Renta de Grandes Espacios - Milenio 3era Sección,18000,4 rec.,186 m²
1616348246-100,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,"Casa en Renta Amueblada en un Deseo El Mirador $13,500",13500,2 rec.,197 m²
1616348338-254,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Linda Casa con Amplio Jardín / Juriquilla,37000,4 rec.,800 m²
1616348246-120,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,"Casa en Fraccionamiento, Renta - El Mirador",8000,2 rec.,151 m²
1616348326-249,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,"Departamento Amueblado en Biosfera Juriquilla, 3 Recamaras, 2.5 Baños, Elevador",22000,3 rec.,120 m²
1616348203-54,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa Renta El Campanario Queretaro Rcr - Ae,64000,4 rec.,770 m²
1616348282-171,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,"Casa en Venta en Real de Juriquilla, Querétaro. con Alberca!",19000,3 rec.,360 m²
1616348338-259,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Casa en Renta en Grand Juriquilla Queretaro Rcr - Vs,14500,3 rec.,200 m²
1616348361-312,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-5.html,"Casa en Venta en Valle de Juriquilla Amueblada, Querétaro.",18500,3 rec.,170 m²
1616348445-452,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,Casa en Renta Impecable en El Refugio Jgcc,12500,3 rec.,127 m²
1616348481-489,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html,Amplia Casa en Renta en El Refugio,14000,3 rec.,150 m²
1616348421-416,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-1.html,"Juriquilla, con Amplio Jardín",37000,4 rec.,800 m²
1616348314-214,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,"Casa en Renta, Fraccionamiento Alenas, Juriquilla, Qro.",19000,null,240 m²
1616348388-367,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Renta de Casa en Valle de Juriquilla con Amenidades,13000,3 rec.,240 m²
1616348374-329,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,"Hermosa Casa en Renta, Villas del Mesón. 4 Recámaras 6.5 Baños, Nueva y de Autor",55000,5 rec.,1000 m²
1616348246-108,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Cómoda Casa a Estrenar. Renta - El Mirador.,11000,2 rec.,134 m²
1616348338-261,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Casa en Venta o en Renta en Cumbres de Juriquilla,17500,3 rec.,130 m²
1616348481-490,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html,Exclusiva Casa en Renta El Refugio,15500,3 rec.,191 m²
1616348218-74,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-3.html,Casa Amueblado en Residencial del Parque,12000,2 rec.,70 m²
1616348178-22,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,Renta Casa El Campanario,100000,4 rec.,1367 m²
1616348421-406,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-1.html,Casa de 3 Hab. en Real del Lago Juriquilla Ln,14500,3 rec.,187 m²
1616348432-431,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-4.html,Casa en Condominio en Renta en Fraccionamiento Residencial El Refugio,15000,4 rec.,129 m²
1616348191-27,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Casa en Renta en Hacienda El Campanario,15000,2 rec.,98 m²
1616348326-239,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,"Casa en Renta - Cumbre del Lago, Juriquilla - Queretaro - C1576",18000,3 rec.,280 m²
1616348232-96,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Casa de Exclente Ubicación en Renta - El Mirador,12000,3 rec.,100 m²
1616348338-272,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Casa en Renta en Juriquilla Valle,14000,3 rec.,120 m²
