web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,mconstruidos
1620518553-2230,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=6,Casa en venta El Campanario 4 habitaciones JRH,"$19,990,000",4,500
1620519458-4390,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=5,CASA EN PRIVADAFRENTE ANTEA 3 RECÁMARAS ALBERCA Y SALON DE USOS MULTIPLES,"$2,900,000",3,151
1620518150-1007,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/?&page=2,CASA EN VENTA EN HUERTAS EL CARMEN QRO.,"$18,000,000",3,650
1620518438-1972,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=5,Casa en venta en Arco de piedra jurica 3 recamaras cuarto de servicio YCC,"$6,200,000",3,264
1620518637-2432,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=9,Casa en Venta en Mirador del Cimatorio 201592 JL,"$5,000,000",4,311
1620519151-3579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=32,Casa amplia en Juriquilla de 3 recamaras! RAHQRO 20-177,"$3,409,000",3,196
1620518393-1846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,"Casa Nueva en Arco de Piedra, Exclusiva Privada por Antea, terreno 280m","$7,300,000",3,400
1620518807-2792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=7,VENTA CASA QUERETARO MILENIO,"$3,350,000",3,200
1620519865-5643,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=2,"¡Estrena funcional casa !, En El Refugio, Querétaro, Qro.","$2,750,000",3,173
1620518818-2818,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=6,Milenio III - Casa en exclusivo condominio de 4 viviendas,"$2,970,000",3,150
1620518475-2110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=1,Casa en VENTA de UN piso con ALBERCA y cuarto de huéspedes en el corazón de Jurica,"$8,500,000",5,400
1620518393-1832,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,Casa en Venta en Fracc Jurica El Pinar,"$17,000,000",3,375
1620519846-5573,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,"Linda Casa, El Refugio, Alberca, 3 Niveles 4 Recámaras, 3.5  ROOF GARDEN","$2,600,000",4,181
1620519810-5456,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=8,Casa Amueblada en Venta. El Refugio,"$2,130,000",3,130
1620519753-5285,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=14,"CASA EN VENTA EN EL REFUGIO, 2 PLANTAS, 3 , 2.5 , 3 EST. , PATIO","$2,525,000",3,158
1620518393-1828,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,Venta de Amplia Casa con Recámara en Planta Baja - Jurica,"$16,500,000",5,505
1620519470-4408,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=4,Casas en venta Lomas de Juriquilla Queretaro GPS,"$6,390,000",4,387
1620518142-953,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/casa/for-sale/?currency=mxn,casa en venta paseo de berna 48 queretaro,"$5,050,000",3,522
1620519202-3721,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=27,"Casa con Roof Garden y Cuarto de Servicio, Para Venta - Altos de Juriquilla","$3,954,000",3,215
1620518986-3175,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=45,CASA EN PREVENTA JURIQUILLA QUERETARO,"$3,800,000",3,250
1620518296-1510,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=5,"Casa de lujo en Pre-venta, en Lago de Juriquilla, Cumbres del Lago,  Queretaro","$5,580,000",4,240
1620519056-3341,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=40,Casa con diseño de vanguardia en Altos de Juriquilla de 121 mts2!,"$2,369,271",2,121
1620518590-2311,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=3,CASA EN VENTA EN EL CAMPANARIO QUERÉTARO,"$20,000,000",4,790
