web-scraper-order,web-scraper-start-url,titulo,precio
1616529470-2380,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-6.html,Departamento en Central Park. 2 Hab. Vista Espectacular.,"MN 17,000"
1616529753-2977,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,"Biogrand, Departamento en Renta con Excelente Vista Panorami","MN 10,500"
1616529540-2538,https://www.inmuebles24.com/departamentos-en-renta-en-jurica-pagina-1.html,Depa Amueblado a 200 m de Plaza Antea Qro.,"MN 22,900"
1616529794-3082,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,"Se Renta Hermoso Departamento en Juriquilla Towers, Piso 7, 2 Recámaras, Lujo!","MN 23,000"
1616529594-2629,https://www.inmuebles24.com/departamentos-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Departamento en Renta en Adamant,"MN 23,000"
1616529604-2660,https://www.inmuebles24.com/departamentos-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Increíble Departamento en Cima Towers El Campanario,"MN 15,500"
1616529502-2460,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-3.html,Departamento en Renta Central Park Queretaro Rdr - Cl,"MN 18,000"
1616529407-2249,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-12.html,Departamento en Renta Alia Sky Living Queretaro,"MN 16,000"
1616529863-3252,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Departamento Renta en Wiseliving La Cañada en Juriquilla,"MN 20,000"
1616529804-3090,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,Departamento Amueblado en Wise Living,"MN 35,000"
1616529705-2869,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Hermoso Departamento en Renta en Juriquilla,"MN 20,000"
1616529632-2707,https://www.inmuebles24.com/departamentos-en-renta-en-milenio-pagina-4.html,Renta Depa a Estrenar en Condominio con Excelentes Amenidades Jf,"MN 15,000"
1616529632-2717,https://www.inmuebles24.com/departamentos-en-renta-en-milenio-pagina-4.html,Departamento Amueblado en Milenio III,"MN 15,000"
1616529540-2542,https://www.inmuebles24.com/departamentos-en-renta-en-jurica-pagina-1.html,"Departamento en Renta, Condesa Palmas, Jurica","MN 11,000"
1616529725-2915,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Departamento en Renta en Mediterranea Juriquilla Ll,"MN 9,500"
1616529863-3236,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,"Excelente Departamento en Renta, Alta Seguridad, Alberca, Am","MN 13,500"
1616529744-2963,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento en Renta Vértice Juriquilla,"MN 13,000"
1616529439-2305,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-9.html,Departamento en Renta Alia Centro Sur,"MN 16,000"
1616529824-3144,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,Renta Departamento San Isidro Juriquilla Ll,"MN 7,500"
1616529594-2623,https://www.inmuebles24.com/departamentos-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Departamento en El Campanario de 40 m² y 1 Dormitorio! en Renta Rahqro 20 - 245,"MN 19,000"
1616529460-2352,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-7.html,Departamento en Renta en Centro Sur,"MN 23,000"
1616529744-2944,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento en Renta a Estrenar en Juriquilla,"MN 16,000"
1616529416-2274,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-11.html,"Centro Sur, Departamento con Hermosa Vista a La Ciudad","MN 20,000"
1616529642-2740,https://www.inmuebles24.com/departamentos-en-renta-en-milenio-pagina-3.html,"Departamento en Renta en Milenio III con Vista y Privacidad. $3,800,000","MN 18,400"
1616529725-2897,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Hermoso Departamento Amueblado en Juriquilla Kpo 20 - 3,"MN 16,500"
1616529642-2730,https://www.inmuebles24.com/departamentos-en-renta-en-milenio-pagina-3.html,"Departamento Amueblado Renta, Milenio 3","MN 14,000"
1616529620-2691,https://www.inmuebles24.com/departamentos-en-renta-en-milenio-pagina-5.html,"Departamentos Ejecutivos en Renta en Querétaro, Milenio III","MN 16,000"
1616529377-2195,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-cumbres-del-lago-pagina-3.html,Renta Departamento Juriquilla,"MN 20,000"
1616529470-2389,https://www.inmuebles24.com/departamentos-en-renta-en-centro-sur-pagina-6.html,Departamento Amueblado de Una Recámaras Zona Centro Sur,"MN 16,500"
