web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516966-847,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,Misión San Jeronimo garden house en planta baja de 2 recamaras y 156 mts2!,"$19,500",2,2,156
1620516758-37,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,"YO VIVO EN LO MEJOR DE LO MEJOR, DEPARTAMENTO EN VENTA RENTA JURIQUILLA, QRO.","$20,000",2,2,196
1620516873-491,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,Lofts amueblados en Renta en Milenio III,"$10,000",null,null,55
1620516811-241,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/?currency=mxn,DEPARTAMENTO HABITACIONAL,"$17,000",2,2,132
1620516758-42,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,AMBAR TOWER Cumbres del Lago Juriquilla Departamento con o sin muebles en renta 2 rec...,"$18,000",2,2,135
1620516781-146,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,DEPARTAMENTO EN RENTA EN CENTRO SUR QUERÉTARO,"$21,000",2,2,130
1620516935-723,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,RENTA DEPARTAMENTOS AMUEBLADOS QUERETARO JURIQUILLA ATELIER  AA,"$28,000",3,3,120
1620516865-449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,Loft con maravillosa vista amueblado + Oficina,"$15,000",1,1,102
1620516825-312,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,DEPARTAMENTO AMUEBLADO Y EQUIPADO ADAMANT INCREIBLE VISTA,"$18,000",1,1,57
1620516943-746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO en RENTA en JURIQUILLA QUERETARO 3 recámaras y AMENIDADES,"$15,500",3,2,127
1620516958-830,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,Departamento - Juriquilla,"$11,000",2,2,90
1620516841-358,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta El Mirador 2 habitaciones JRH,"$12,500",2,2,85
1620516880-513,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,RENTA DEPARTAMENTO AMUEBLADO MILENIO 2 RECAMARAS,"$19,000",2,2,100
1620516880-505,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,RENTA DEPARTAMENTO MILENIO III NUEVECITO CON ALBERCA,"$13,500",2,2,113
1620516781-127,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Departamento amoblado en Centro Sur de 110 mts2! RAHQRO,"$25,000",3,3,110
