web-scraper-order,web-scraper-start-url,descrip,precio
"1615738877-17552","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html","Casa en Renta en El Mirador Querétaro","MN 14,500"
"1615738957-17748","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-2.html","Renta Casa Juriquilla Cumbres del Lago","MN 21,000"
"1615738915-17629","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-7.html","Casa en Renta Villas del Mesón Juriquilla Querétaro","MN 25,000"
"1615738885-17568","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html","Casa en Renta en El Mirador Residencial del Parque","MN 12,007"
"1615738965-17753","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-1.html","Casa de 4 Hab. (1 en P. B.) en Altos Juriquilla Ln","MN 18,500"
"1615738981-17818","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html","Casa de 3 Recámaras y Roof Garden en Renta en El Refugio Srm 21 - 2093","MN 15,500"
"1615738907-17588","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-8.html","Residencia Frente Al Lago en Juriquilla, Náutico, Roof Garde","MN 30,000"
"1615738885-17553","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html","Casa en Renta, El Mirador, Querétaro.","MN 8,500"
"1615738931-17675","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-5.html","Casa en Renta en Juriquilla","MN 22,000"
"1615738939-17683","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-4.html","Casa en Renta Juriquilla","MN 13,500"
"1615738939-17698","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-4.html","Casa en Venta y Renta en Juriquilla, Querétaro","MN 15,000"
"1615738989-17824","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html","Amplia Casa a Estrenar en El Refugio 3 Rec y Roof. Aceptan Mascotas Jf","MN 15,500"
"1615738869-17526","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Casa - Fraccionamiento El Campanario","MN 58,000"
"1615738842-17513","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html","Casa en Renta en El Campanario","MN 129,000"
"1615738923-17646","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-6.html","Casa en Renta en Juriquilla, Querétaro","MN 26,000"
"1615738939-17700","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-4.html","Casa en Renta en Juriquilla - Biogrand -.","MN 11,200"
"1615738947-17721","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-3.html","Hermosa Casa de 3 Pisos en Cumbres del Lago” “excelente Iluminación","MN 30,000"
"1615738957-17737","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-2.html","Casa en Renta Santa Fe Juriquilla","MN 11,500"
"1615738869-17528","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Casa - Fraccionamiento El Campanario","MN 85,000"
"1615738923-17648","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-6.html","Juriquilla 3recámaras 3baños Sala Tv Estudio Ó 4°recámara en Pb Pie Roof Garden","MN 12,000"
"1615738869-17516","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Casa en Renta El Campanario, Querétaro","MN 67,500"
"1615738869-17538","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Casa en Renta El Campanario","MN 56,000"
"1615738869-17522","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Casa en Renta en El Campanario","MN 55,000"
"1615738869-17520","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html","Venta o Renta Hermosa Residencia en El Campanario con Vista Al Campo de Golf","MN 90,000"
"1615738923-17638","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-6.html","Casa Renta Juriquilla Torre de Piedra","MN 15,000"
"1615738981-17819","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html","En Renta Amplia Casa Ubicada en El Corazon del Refugio","MN 14,000"
"1615738915-17630","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-7.html","Hermosa Casa en Renta Lomas de Juriquilla","MN 25,000"
"1615738989-17826","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html","Casa en Renta Impecable en El Refugio Jgcc","MN 12,500"
"1615738931-17658","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-5.html","Casa Semiamueblada en Renta en San Isidro Juriquilla de 2 Recamaras","MN 9,500"
"1615738931-17657","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-5.html","Cumbres de Juriquilla. Casa en Renta. Fvr","MN 16,500"
"1615738947-17714","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-3.html","Casa en Renta Amueblada Olivar del Prado","MN 9,500"
"1615738989-17840","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html","Casa en Renta. El Refugio. Fvr","MN 12,600"
"1615738907-17587","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-8.html","Casa en Renta Pontevedra II","MN 21,500"
"1615738877-17550","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html","Casa Amueblada en El Mirador de 3 Dorm.! Jgj 20 - 1051","MN 20,000"
"1615738981-17810","https://www.inmuebles24.com/casas-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html","Casa en Renta. El Refugio. Fvr","MN 13,000"
"1615738923-17653","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-6.html","Renta de Casa en Condesa Juriquilla con Roof Garden Hermosa y Espaciosa Casa","MN 22,000"
"1615738842-17512","https://www.inmuebles24.com/casas-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html","Casa - Fraccionamiento El Campanario","USD 4,500"
"1615738957-17736","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-2.html","Casa en Renta en Querétaro","MN 39,000"
"1615738957-17747","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-2.html","Altos de Juriquilla Casa de 3 Recamaras y 196 M²! Myl","MN 22,000"
"1615738907-17602","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-8.html","Hermosa Casa en Renta Juriquilla Junto Al Lago","MN 45,000"
"1615738947-17715","https://www.inmuebles24.com/casas-en-renta-en-juriquilla-pagina-3.html","Casa en Lomas de Juriquilla Sin Amoblar de 3 Dorm. y 190 M²! Goc","MN 18,700"
