web-scraper-order,web-scraper-start-url,descrip,precio
1616367587-1657,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 3 habitaciones AVH,"$12,000"
1616367671-1789,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa - Juriquilla,"$55,000"
1616367608-1704,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,"Casa en renta en Misión Mariana, Corregidora.","$10,000"
1616367838-2036,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,RENTA CASA REFUGIO RESIDENCIAL,"$17,900"
1616367734-1887,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,CASA NUEVA EN RENTA JURIQUILLA,"$14,200"
1616367692-1831,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa - Juriquilla,"$45,000"
1616367838-2017,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367943-2165,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,"3 Recamaras + Estudio, Cocina Integral, Excelente Ubicación, Frente Paseo Qro","$11,000"
1616367880-2097,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367838-2038,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,EL REFUGIO HI70,"$14,000"
1616367650-1743,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,RENTA CASA JURIQUILLA QUERETARO/  TI-C,"$9,500"
1616367901-2111,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367922-2136,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio (sobre avenida) OFP 19-2298,"$16,000"
1616367817-1998,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa SIN AMOBLAR en El Refugio lista para estrenar con 128 mts2! GOC,"$12,500"
1616367922-2155,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"El Refugio, Hermosa y Cómoda Casa en Renta. Fvr","$14,006"
1616367671-1774,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en Renta en Juriquilla Misiones,"$37,000"
1616367943-2167,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,CASA RENTA EN REFUGIO CONDOMINIO VIDALTA QUERETARO,"$11,500"
1616367838-2039,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en renta en El Refugio con amenidades OFP 20 885,"$12,000"
1616367546-1599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,"Residencia de lujo en Renta, El Campanario  Residencial  Golf Querétaro","$57,000"
1616367859-2059,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones JGCC,"$15,500"
1616367692-1819,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,ALTOS DE JURIQULLA CASA EN RENTA DE 3 RECAMARAS ROOF GARDEN CUARTO DE SERVICIO,"$22,000"
1616367880-2085,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en Renta Torre de Piedra El Refugio,"$16,000"
1616367838-2015,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en renta El Refugio 3 habitaciones YCC,"$11,000"
1616367796-1962,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa en renta en EL Refugio OFP 20 2631,"$14,000"
1616367671-1782,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa - Fraccionamiento La Cañada Juriquilla,"$50,000"
1616367880-2087,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en Renta en Riscos de Zakia Queretaro,"$8,800"
1616367692-1827,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Renta de casa Queretaro San Isidro Juriquilla dentro de condominio privado,"$10,500"
1616367671-1783,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en Renta RID9561,"$16,500"
1616367838-2037,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en renta en El Refugio OFP 20 2579,"$10,500"
1616367692-1820,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,"PRECIOSA CASA AMUEBLADA EN RESIDENCIAL PARAISO, JURIQUILLA","$16,000"
1616367922-2156,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"Casa de 3 Recámaras, Mantenimiento Incluido El Refigio Querétaro.  CMC #20-1606","$13,000"
1616367650-1748,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa con recámara en PB en RENTA,"$40,000"
1616367734-1885,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Casa en Renta Juriquilla Queretaro en Privada con 3 recamaras,"$12,800"
1616367734-1890,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,RENTA DE CASA EN VALLE DE JURIQUILLA,"$19,000"
1616367629-1733,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Casa sola en Renta, en Milenio 3a. Sección, Querétaro","$17,000"
1616367650-1760,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa sin amueblar en Cumbres de Juriquilla de 180 mts2! ATC,"$15,000"
1616367546-1619,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,EL CAMPANARIO PRECIOSA RESIDENICA EN RENTA,"$45,000"
1616367901-2129,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,El Refugio casa a estrenar de 3 recamaras y 246 mts2! RAHQRO,"$15,500"
1616367775-1925,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,"Renta Casa El Refugio, Querétaro: Estudio, en Privada con Alberca","$10,500"
1616367859-2068,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones AVH,"$13,000"
1616367671-1791,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,AA/ CAS RENTA JURIQUILLA QUERETARO JARDINES DE JURIQUILLA,"$15,500"
1616367587-1667,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en Renta en El mirador,"$9,000"
1616367754-1919,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,"Lujosa casa en renta, El Refugio (sobre avenida) OFP Ex1093","$45,000"
1616367608-1687,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en El Milenio de 300 mts2 con cocina equipada! RAHQRO 19-2205,"$15,000"
1616367734-1884,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa sola en Renta, en Juriquilla, Querétaro","$35,000"
1616367546-1598,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,Casa en Renta en EL CAMPANARIO RESIDENCIAL,"$65,000"
1616367650-1744,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,RENTA CASA JURIQUILLA QUERETARO,"$10,650"
1616367629-1724,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Milenio, cómoda casa amueblada para renta. FVR","$16,000"
1616367608-1701,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,RENTA DE CASA EN AVENIDA UNIVERSIDAD 3 RECAMARAS,"$15,500"
1616367734-1864,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"CASA EN RENTA EN JURIQUILLA $8,000 (EN PRIVADA CON POCAS CASAS)","$8,000"
1616367922-2161,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367754-1898,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1616367817-1989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,RENTA CASA RESIDENCIAL REFUGIO,"$14,000"
1616367796-1973,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Hermosa y cómoda casa de tres habitaciones en El Refugio,"$14,000"
1616367775-1946,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,RENTA CASA AMUEBLADA  EN TORRE DE PIDRA PROVIDENCIA QUERETARO,"$15,000"
1616367650-1746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta en Juriquilla con cuarto de servicio,"$15,000"
1616367650-1765,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Excelente casa en renta en Juriquilla,"$15,000"
1616367650-1749,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta - Juriquilla - en Privada,"$28,000"
1616367796-1974,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa en renta amueblada El Refugio,"$14,500"
1616367901-2131,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Amplia casa en renta EL Refugio,"$14,000"
1616367608-1711,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Exclusivo Fraccionamiento a un lado de Hacienda El Campanario,"$33,000"
1616367629-1713,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Amplia casa de 3 recamaras, sala de TV, cuarto de servicio, jardín con sombrilla","$13,900"
1616367713-1861,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa en Renta Juriquilla,"$13,500"
1616367650-1767,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en renta Los Naranjos Juriquilla,"$13,000"
1616367943-2187,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,"CASA EN RENTA CH EN VIDARA, RESIDENCIAL EL REFUGIO, QUERÉTARO","$9,000"
1616367567-1634,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Casa amueblada en renta en el Mirador de 3 recámaras con estudio 20-1051,"$25,000"
1616367629-1730,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA,"$15,000"
1616367817-2003,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,CASA EN VENTA TORRE DE PIEDRA REFUGIO,"$18,900"
1616367650-1755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,CASAS RENTA QUERÉTARO JURIQUILLA JARDINES DE JURIQUILLA,"$15,500"
1616367713-1845,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"Casa moderna en renta, Valle de Juriquilla","$19,500"
1616367629-1720,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Rento casa Milenio, 4 recamaras, 5 baños, estudio PB, Roof, amplios espacios","$15,000"
1616367817-1985,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa sin amueblar en El Refugio de 3 niveles! GOC 20-2531,"$15,000"
1616367734-1875,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS / ATELIER,"$12,500"
1616367754-1897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1616367734-1871,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"C206 Monisima casa amueblada o sin amueblar, jacuzzi, priv. vig 24 Excelente $","$15,000"
1616367943-2178,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa renta Querétaro el Refugio Hermosa casa  zona en expansión con plusvalía,"$10,000"
1616367901-2123,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en privada con vigilancia 24 horas y 3 dormitorios! RAHQRO,"$13,000"
1616367754-1915,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta en El Refugio,"$11,500"
1616367734-1865,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,EXCELENTE CASA EN RENTA EN SAN ISIDRO JURIQUILLA,"$10,500"
1616367775-1923,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Hermosa y cómoda casa de tres habitaciones en El Refugio.,"$14,000"
1616367608-1685,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en renta Milenio 3 habitaciones JRH,"$16,000"
1616367754-1916,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en El Refugio de 124 mts2 y sala de televisión! GOC,"$11,500"
1616367546-1603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,Se Renta casa en El Campanario,"$65,000"
1616367859-2053,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en El Refugio con Variadas Amenidades - Renta,"$14,000"
1616367754-1896,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta con finos acabados y pisos de porcelanato en El Refugio YCC,"$2,516,000"
1616367629-1719,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Casa amoblado en El Milenio III de 240 mts2 y 3 dormitorios! ATC,"$16,000"
1616367567-1639,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,"Álamos 3a Sección, Querétaro","$11,500"
1616367754-1917,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367650-1768,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Rento casa en Jardines de Juriquilla,"$15,000"
1616367901-2110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta,"$15,000"
1616367671-1794,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en Renta con recamara en planta baja,"$35,000"
1616367796-1971,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Amplia casa en renta de 3 recamaras y sala de TV en el Refugio,"$12,000"
1616367629-1717,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Hermosa casa en El Milenio con Roof Garden y excelente diseño! GOC,"$23,000"
1616367943-2186,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Rento en el refugio casa de 2 niveles con buenas amenidades 3 recamaras y 4 baño,"$13,000"
1616367713-1835,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,RENTA CASA AMPLIA VALLE DE JURIQUILLA 3 RECAMARAS CERCA HOSPITALES ESCUELAS,"$15,000"
1616367943-2191,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Hermosa Casa en Renta en El Refugio,"$12,000"
