web-scraper-order,web-scraper-start-url,descrip,precio
1615707926-16861,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones AVH,"$15,500"
1615707948-16935,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa en renta El Refugio 3 habitaciones JRH,"$11,000"
1615707774-16447,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA MILENIO III LUCEPOLIS,"$15,000"
1615707939-16889,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en El Refugio de 124 mts2 y sala de televisión! GOC,"$11,500"
1615707820-16568,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,RENTA DE CASA EN VALLE DE JURIQUILLA,"$19,000"
1615707785-16492,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,CASA EN RENTA JURIQUILLA QUERETARO,"$37,000"
1615707820-16582,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casas en Renta en Juriquilla San Francisco,"$35,000"
1615707802-16520,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en renta Los Naranjos Juriquilla,"$13,000"
1615707886-16738,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa en el Refugio sin Amoblar de 3 Dormitorios y 164 Mts2! Goc,"$13,500"
1615707916-16852,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1615707845-16667,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Linda casa en renta en el Refugio,"$19,000"
1615707916-16832,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,El Refugio - Casa para RENTA en calle abierta.,"$15,500"
1615707758-16396,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Hermosa casa en renta El MIrador.LC,"$11,500"
1615707845-16647,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta con finos acabados y pisos de porcelanato en El Refugio YCC,"$2,516,000"
1615707862-16679,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Amplia casa a estrenar en El Refugio. Aceptan mascotas JF,"$15,500"
1615707766-16430,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,"Casa en renta en Misión Mariana, Corregidora.","$10,000"
1615707758-16400,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Se renta casa de 3 recamaras  3 baños en el mirador buena ubicacion,"$12,000"
1615707785-16485,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,"KL / CASA RENTA CON ALBERCA, ESTILO MEXICANO. SAN FCO JURIQUILLA.","$28,000"
