web-scraper-order,web-scraper-start-url,titulo,precio
1618373573-9109,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=8,"Hermosa Casa en El Refugio, 3 Recámaras, Estudio, 2.5 Baños, SalaTV, Equipada !!","$2,300,000"
1618370263-2286,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=2,Casa en Milenio III de 3 recamaras y 150 mts2! RAHH 20-2014,"$2,862,000"
1618372180-7005,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=35,Misión San Jeronimo casa con 4 recamaras cada una con su baño!,"$7,500,000"
1618369116-971,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=3,Venta de Casa en el Fraccionamiento Claustro del sur (Centro Sur),"$5,400,000"
1618371676-5989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=49,"JURIQUILLA , CASA VENTA, QUERETARO, QUERETARO.","$7,255,000"
1618369678-1474,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=9,Casa en PRE VENTA El Campanario Querétaro,"$18,800,000"
1618372418-7463,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=24,VENTA CASA CAMPESTRE JURIQUILLA,"$4,300,000"
1618369810-1655,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=3,Venta casa de lujo hacia fairway en el campanario Querétaro,"$35,000,000"
1618371232-4743,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=10,Casa a estrenar en El Mirador en Venta,"$2,400,000"
1618370918-3859,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,Casa en Fraccionamiento Jurica,"$5,980,000"
1618373489-9000,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,203309 El refugio fabulosa casa 3 recamaras con Roof Garden,"$5,290,000"
1618370533-2760,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=7,"CASA NUEVA EN PRIVADA, CUMBRES DEL LAGO, QUERÉTARO 3,018,600.00","$3,018,600"
1618372418-7466,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=24,"Casa NUEVA 3 Recamaras, Cto Servicio, Privada con Seguridad y Alberca $6,012,000","$6,012,000"
1618371691-6026,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=24,Casa en venta El Refugio 3 habitaciones AVH,"$2,380,000"
1618370070-2024,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=1,Casa en El Mirador de 3 dormitorios y 115 mts2! RAHQRO 20-566,"$2,040,000"
1618372027-6580,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,Venta de casa en El Refugio 4 cuartos,"$2,600,000"
1618372901-8145,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=1,Casa en venta Preserve Juriquilla Queretaro GPS,"$3,200,000"
1618370639-3064,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=2,"Venta casa condominio Cumbres del Lago, juriquilla con amenidades","$3,850,000"
1618372607-7731,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=15,Casa en Juriquilla de con 4 puestos de estacionamientos y 504 mts2 RAHH,"$13,000,000"
1618371226-4711,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=7,"Venta de Casa en Altos Juriquilla nueva, 3 Rec. con baño c/u, alberca Queretaro","$3,184,000"
1618370777-3467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=28,"Juriquilla San Isidro, 3 Recamaras, Sala TV, Pasillo de Servicio, Jardín,  3Baño","$1,896,400"
1618369008-832,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=5,Casa lujosa en Cumbres del Lago de 3 dormitorios! RAHQRO,"$4,200,000"
1618372133-6869,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,FRAY JUNIPERO CASA 3 RECAMARAS JARDIN BALCON EN PRIVADA CON ALBERCA Y AMENIDADES,"$1,958,000"
1618371691-6037,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=24,Casa en El Refugio de 3 dormitorios y 150 mts2! GOC,"$2,390,000"
1618371127-4444,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=5,REMATE!! Casa Nueva en Lomas de la Vista Querétaro,"$5,900,000"
1618372158-6949,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=36,Casa en Juriquilla de 3 dormitorios y 129 mts2! ATC,"$2,550,000"
1618370554-2837,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=6,"Casa en venta en Querétaro, Cumbres del Lago frente a área verde con JACUZZI","$4,450,000"
1618370789-3489,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11,Residencia en Jurica en Venta,"$18,850,000"
1618369290-1165,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,"Casa sola en Venta, en Jurica, Querétaro","$19,950,000"
1618372158-6950,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=36,Casa en Venta en Juriquilla,"$3,200,000"
1618369810-1653,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=3,VENTA DE CASA EN EL CAMPANARIO,"$17,900,000"
1618370199-2199,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=5,CASA EN VENTA EN FRACCIONAMIENTO ALBORADA,"$5,300,000"
1618370906-3811,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=22,CASA EN VENTA EXCELENTE UBICACIÓN,"$2,550,000"
1618373552-9084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=9,"Hermosa Casa Boutique en El Refugio, Luxury, Alberca, Sala TV opción a 4ta Rec..","$4,100,000"
1618370575-2887,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=5,PRE-VENTA DE CASA EN CUMBRES DEL LAGO,"$3,598,000"
1618371439-5322,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=36,Estrene Casa en Una de Las Mejores Zonas de La Ciudad de 2 Recamaras Rahqro,"$2,055,000"
1618371395-5178,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=38,VENTA DE CASA EN EL REFUGIO,"$4,780,000"
1618370639-3068,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=2,"Preciosa Residencia en Cumbres del Lago, 1 Master Suite, 2 Suites, de LUJO !!","$4,850,000"
1618373132-8480,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=29,Casa en El Refugio con Roof Garden muy amplio y 180 mts2! ATC,"$2,990,000"
1618370091-2058,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=10,Casa con Roof Garden y Vista a Los Arcos de Querétaro SRM 21-1096,"$3,975,000"
1618371754-6217,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=21,VENTA CASA EL REFUGIO,"$2,169,000"
1618370220-2239,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=4,CASA EN VENTA MILENIO III,"$3,250,000"
1618372628-7770,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=14,ESTRENA CASA EN ZONA EXCLUSIVA DE JURIQUILLA,"$7,950,000"
1618371985-6498,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=14,"20-2053 Casa en El Refugio, de 131 mts2, 3 recámaras y acabados de lujo ATC","$2,340,000"
1618368780-584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=11,Casa en venta Cumbres del Lago 2 habitaciones JGCC,"$2,704,000"
1618371064-4252,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=8,"Casa NUEVA Venta, 4 recamaras 1 en Planta Baja, Campanario, QUERETARO 26,000,000","$26,000,000"
1618371416-5243,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=37,"Residencia ECOLOGICA, 2niv, 3 rec cada una c/baño, estudio, super cocina, lavado","$2,450,000"
1618371232-4740,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=10,El Mirador casa en fraccionamiento con excelente amenidades y seguridad!,"$2,450,000"
1618370745-3363,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa remodelada en Jurica de 3 dormitorios y 445 mts2! RAHH,"$13,500,000"
1618370670-3151,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=33,VENTA CASA ALTOS JURIQUILLA QUERETARO/ TI-D,"$3,650,000"
