web-scraper-order,web-scraper-start-url,titulo,descrip,precio
"1618890585-19917","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6","CASA TRES HABITACIONES TRES BAÑOS, JURICA QUERETARO","Propiedad en excelente ubicación, ojo solamente recursos propios. ubicación de fácil acceso, vías de comunicación principales; transporte publico, escuelas, hospitales y centros comerciales cercanos. No creditos. Invierte seguro!","$ 2,870,000"
"1618890653-20009","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3","Casa en Venta en Jurica Qro amplio jardin, alberca y 5 recamaras con baño c/u","Atractiva residencia en jurica, queretaro con alberca, delicioso y fresco jardin; 5 recamaras con su baño y vestidor. Construccion y acabados de calidad. Vigilancia y seguridad  Enamorese de esta linda residencia con alberca, jardin y 5 recamaras cada una con su vestidor y baño propio. Acabados de muy buen gusto, espacios muy completos y acogedores, diseñada especialmente para satisfacer todas las necesidades de una familia.  Encantadora sala con moderna estructura de madera y biblioteca. Dos cuartos de tv, uno en planta baja y uno en planta alta. Cuarto de juegos adicional con baño completo y cocineta con vista al jardin.  Alberca equipada con caldera y filtro, integrada a espaciosa terraza con magnifica orientacion para disfrutar momentos inolvidables. Cochera techada con puertas automáticas. El tamaño del jardin es de 230m2, es perfecto para la dimension de la casa.  Lavanderia, bodega interior y bodega de jardineria, cisterna de 7,000 lts. Caseta de vigilancia y seguridad.  Conozcala y le encantara!     Vo1586dp","$ 11,350,000"
"1618890585-19910","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6","CASA EN VENTA EN JURICA QUERETARO DE 1256 M2 TERRENO CON 6 RECAMARAS EN UN PISO","Hermosa casa en Jurica, construida en un solo nivel con 1,250 m2 de superficie y 550 m2 de construcción , con materiales y acabados de alta calidad. 

Cuenta con Sala con Chimenea  , comedor , estudio o despacho, mas sala de T.V.,  medio baño de visitas, cuenta con 6 recámaras y 6 baños completos.
La habitación principal cuenta con Walk In Closet y baño master.

Amplia cocina con espacio para antecomedor con amplio espacio de almacenaje. Cuarto de Lavado, Bodega y cuarto de servicio con baño completo.
Cuenta con una Terraza unida a un amplio jardín con árboles frutales, asador y Bungalow independiente a la casa principal. 

Sistema de Paneles solares.
2 cisternas y 2 tinacos, 
Cuenta con 7 lugares de estacionamiento. EasyBroker ID: EB-FW9495","$ 9,500,000"
"1618890496-19800","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10","Casa en Jurica de 4 dormitorios más estudio! ATC 20-805","*Atc 20-805* lujosa casa en villas regency de jurica, con una espectacular doble altura con grandes ventanales que le permite disfrutar al entrar del inigualable jardín. Cuenta con 4 recamaras más estudio con baño completo por lo que podrías ser de 5 recamara. En la habitación principal podrás disfrutar de una gran terraza con vista al jardín y con acceso a área de oficina. Entre sus adicionales esta una alberca. No se comparte entre 3 corredores. - importante: pedir información del inmueble con el código marcado con ""**"". - previa cita.","$ 16,500,000"
"1618890585-19926","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6","Hermosa residencia en venta en Jurica","Preciosa residencia en uno de los fraccionamientos mas exclusivos de la ciudad. Cuenta con un excelente mantenimiento y finos acabados de muy buen gusto.  Construída en 3 niveles, cuenta con un sótano (cuarto de juegos) muy amplio, 4 recámaras (1 en planta baja) cada una con baño y vestidor, la principal es muy amplia con espacio para una sala, doble vestidor, doble lavabo y tina de hidromasaje. Estudio en planta baja (puede ser una 5a recámara pues es muy amplio). La cocina integral cuenta con isla, lavavajillas, dos alacenas, conectada al comedor y a un desayunador con family room contiguo. Toda la casa tiene muy lindas vistas y la planta baja tiene salida por todas partes a la terraza la cual se conecta a un precioso jardín y a la alberca.  Equipada con mosquiteros, persianas, bodegas, cuarto de blancos, alarma, reja electrificada y cámaras.  El área de servicio es totalmente independiente, con recámara, cocineta y baño completo para vigilante en pb, y en pa 2 cuartos de servicio con closet y 1 baño completo, cuarto de lavado y patio de tendido. Al frente de la casa hay estacionamiento techado para 7 coches y 10 sin techar.","$ 35,000,000"
"1618890431-19725","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13","Jurica casa en venta de 3 recamaras y 235 mts2!","Previa cita. Casa en condominio de 2 casas con espacios muy funcionales y con excelente estado de conservación. Cocina y closets remodelados. La cocina es de granito, con isla desayunador y hornos empotrados. Cuenta con piso de madera en sala comedor en excelente estado. En segundo piso cuenta con 3 recámaras con closet, la principal con baño completo propio y las otras dos comparten un baño. Amplio y acogedor. Comisión compartida. No se comparte entre 3 asesores.","$ 3,320,000"
"1618890453-19744","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12","CASA EN VENTA EN JURICA RECAMARA EN PLANTRA BAJA","Wiggot: pPOX0Ut


Preciosa casa en venta en Fraccionamiento Campestre Jurica. La casa tiene  proyecto arquitectónico muy bonito y funcional en un estilo mexicano moderno. Esta  residencia cuenta con dos plantas, con amplios espacios.
En Planta baja, sala y comedor, cocina, cuarto de TV, medio baño para visitas, cuarto de servicio, acceso al jardin por pasillo lateral. Cuenta una terraza al frente y otra terraza en la parte de atrás con vista al jardin con arboles. RECÁMARA EN PLANTA BAJA CON BAÑO COMPLETO!!! 
En Planta Alta, cuatro recámaras, la principal con dos vestidores y baño, otra de las recámaras tiene baño y las otras dos comparten un baño, área de TV o estudio. Cuarto de lavado y patio de tendido en mismo nivel de recámaras...COMODISIMO! Iluminada. cómoda, funcional y bonita ! Excelente estado de conservación! 
Dos cisternas, una de ellas de aguas residuales de las regaderas para el riego por aspersión del jardin, dos calentadores, árboles frutales. Visitala!!! Te encantará !!!","$ 6,500,000"
"1618890496-19807","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10","Casa en venta en Jurica OFP 20 3386","Una de las mejores privadas de jurica, 3 recamaras amplias con closet, la pricipal tiene vestidor,cuarto de servicio con su baño completo con pasillo lateral para su entrada, tiene jardin amplio con pasto sintetico. 3 baños completo, altura de 2.80mtrs, estacionamiento cerrado, con alberca y salon de usos multiples, cuarto lavado techado, cocina super amplia equipada, toda la casa con persiana","$ 6,200,000"
"1618890453-19737","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12","Casa en Venta Jurica Campestre Queretaro","Ofrecemos todas las garantías y la certeza que se requiere con utilidades mayores a la de cualquier institución financiera por el tipo de operación. Propiedad en excelente ubicación: hospitales, escuelas, centros comerciales, bancos, vias de transporte, metro, colectivos.invierte, compra y vende, la oportudidad de hacer crecer tu patrimonio en las manos correctas, ¡¡¡garantizamos por escrito tus ganacias economicas!!! Ya que obtendras propiedades muy por debajo de su costo, y propiedades con opcion de credit0 hipotecario, a si como propiedades semi -nuevas y nuevas listas para ser ocupadas. Por ti¡!!olvidate de seguir pagando rentas, y adquiere esta oportunidad, de adquisición, tu familia lo agradecera.a ti joven que estas dispuesto a iniciar tu vida independiente esta es una excelente opcion.Me pondre en contacto con usted, para concertar una cita dependiendo su necesidad de inversion.","$ 4,776,510"
"1618890699-20081","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1","Hermosa casa de una planta con 3 habitaciones en Jurica","Hermosa casa de una planta con 3 habitaciones cada una con baño propio. Amplios espacios de sala, comedor, jardín, cuenta con cuarto de servicio con baño.1 Nivel3 Recámaras cada una con baño propio2 VestidoresCuarto de servicio con bañoEstacionamiento para 4 vehículosCuenta con cisternaEn amplia cerrada con  accesos principales Libramiento Norponiente y Paseo de la República, escuelas cercanas en la zona como UNAM, UVM, UAQ y plazas comerciales como Urban Center, Antea, Uptown.","$ 3,200,000"
