web-scraper-order,web-scraper-start-url,desc_dep,precio_depa,pre
1615702230-16312,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departamento en Planta Baja con Patio,"MN 10,000",10000
1615702145-16058,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Bonito Departamento en Desarrollo Exclusivo Autosustentable Joy Juriquilla,"MN 28,000",28000
1615702185-16186,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,"Juriquilla, Departamento Amueblado Tipo Luxury Totalmente Eq","MN 22,500",22500
1615702129-15999,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Se Renta Lujoso Departamento en Biosfera Towers Juriquilla,"MN 15,000",15000
1615702223-16301,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-1.html,Departamento Renta en Wiseliving La Cañada en Juriquilla,"MN 20,000",20000
1615702200-16224,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Moderno Departamento Amueblado en Atelier Juriquilla. Oc,"MN 17,000",17000
1615702044-15818,https://www.inmuebles24.com/departamentos-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Renta Departamento Amueblado Adamant Queretaro,"MN 17,000",17000
1615702207-16243,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"Departamento Renta, Juriquilla, Lujo!, Querétaro","MN 18,000",18000
1615702129-16020,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,"Lago Ostion, Departamento en Renta","MN 17,500",17500
1615702020-15749,https://www.inmuebles24.com/departamentos-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-5.html,Adamant Amueblado 2 Rec,"MN 17,000",17000
1615702096-15910,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,"Juriquilla, Departamento Amueblado en Renta Para Ejecutivos","MN 28,000",28000
1615702145-16064,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,Departamento Renta Juriquilla Wiseliving,"MN 20,000",20000
1615702207-16248,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"Departamento en Alquiler en Juriquilla, Querétaro, Querétaro","MN 14,000",14000
1615702215-16282,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Departamento de Lujo en Juriquilla Towers,"MN 21,000",21000
1615702176-16163,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-7.html,"Departamento en Renta Junto a La Uvm, en Atelier Juriquilla","MN 12,900",12900
